time,timestamp,recordtime,lat,long,alt,speed,course,verticalAccuracy,horizontalAccuracy,locTimeStamp,accelerationX,accelerationY,accelerationZ,HeadingX,HeadingY,HeadingZ,TrueHeading,MagneticHeading,HeadingAccuracy,en0,pdp_ip0,DeviceOrientation,Event
2013-11-12 15:12:07.532,51,5.1,52.16996,4.457744,0,1.00046,290.7599,9,10,1384265404,-0.2170105,-0.72966,-0.4988556,18.38467,-33.62077,-15.05179,248.3355,247.9918,25,0.0.0.0,10.139.171.151,1,0
2013-11-12 15:12:07.678,52,5.2,52.16996,4.457727,0,1.0165,273.9639,9,5,1384265405,-0.2387238,-0.8192444,-0.5084381,18.82518,-33.18249,-16.08181,248.412,248.0683,25,0.0.0.0,10.139.171.151,1,0
2013-11-12 15:12:07.860,53,5.3,52.16996,4.457727,0,1.0165,273.9639,9,5,1384265405,-0.2159882,-0.8596802,-0.5004578,19.21063,-32.799,-15.5668,248.7521,248.4084,25,0.0.0.0,10.139.171.151,1,0
2013-11-12 15:12:08.183,54,5.4,52.16996,4.457727,0,1.0165,273.9639,9,5,1384265405,-0.1613312,-0.8345184,-0.516861,20.31191,-34.66167,-12.9345,252.4307,252.087,25,0.0.0.0,10.139.171.151,1,0
2013-11-12 15:12:08.388,55,5.5,52.16996,4.457727,0,1.0165,273.9639,9,5,1384265405,-0.1268921,-0.8392944,-0.5371552,19.59608,-33.29205,-12.87728,250.6039,250.2601,25,0.0.0.0,10.139.171.151,1,0
2013-11-12 15:12:08.520,56,5.6,52.16996,4.457727,0,1.0165,273.9639,9,5,1384265405,-0.1631775,-0.798172,-0.500412,18.49479,-33.40162,-15.62402,254.1776,253.8338,25,0.0.0.0,10.139.171.151,1,0
2013-11-12 15:12:08.672,57,5.7,52.16996,4.457727,0,1.0165,273.9639,9,5,1384265405,-0.1718292,-0.8697052,-0.5401917,15.246,-32.57986,-17.7413,257.2185,256.8748,25,0.0.0.0,10.139.171.151,1,0
2013-11-12 15:12:08.775,58,5.8,52.16996,4.457727,0,1.0165,273.9639,9,5,1384265405,-0.1737823,-0.8639679,-0.5596924,14.75043,-31.10068,-19.51524,262.1513,261.8076,25,0.0.0.0,10.139.171.151,1,0
2013-11-12 15:12:08.982,59,5.9,52.16996,4.457714,0,1.018159,299.7195,9.373249,10,1384265406,-0.1646118,-0.8438416,-0.582077,13.15356,-30.49805,-23.34923,266.4227,266.079,25,0.0.0.0,10.139.171.151,1,0
2013-11-12 15:12:09.109,60,6,52.16996,4.457714,0,1.018159,299.7195,9.373249,10,1384265406,-0.1226654,-0.8084106,-0.570343,11.77696,-29.67629,-24.43648,270.2097,269.866,25,0.0.0.0,10.139.171.151,1,0
